forecast_date,target,target_end_date,location,type,quantile,value
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.01,340
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.025,352
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.05,363
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.1,376
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.15,385
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.2,392
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.25,399
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.3,404
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.35,409
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.4,413
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.45,418
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.5,422
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.55,426
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.6,431
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.65,436
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.7,440
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.75,445
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.8,451
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.85,456
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.9,466
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.95,478
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.975,491
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.99,505
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.01,332
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.025,344
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.05,354
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.1,366
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.15,375
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.2,382
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.25,388
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.3,393
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.35,398
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.4,403
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.45,406
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.5,411
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.55,416
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.6,421
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.65,426
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.7,430
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.75,435
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.8,442
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.85,450
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.9,457
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.95,471
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.975,484
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.99,495
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.01,335
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.025,344
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.05,357
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.1,371
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.15,380
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.2,385
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.25,392
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.3,398
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.35,402
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.4,407
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.45,411
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.5,416
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.55,420
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.6,423
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.65,428
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.7,432
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.75,438
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.8,443
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.85,450
