forecast_date,target,target_end_date,location,type,quantile,value
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.01,321
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.025,337
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.05,346
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.1,359
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.15,368
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.2,376
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.25,382
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.3,388
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.35,394
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.4,400
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.45,404
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.5,409
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.55,414
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.6,418
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.65,424
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.7,430
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.75,435
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.8,440
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.85,449
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.9,459
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.95,475
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.975,485
2021-10-10,1 wk ahead inc hosp,2021-10-16,BE,quantile,0.99,498
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.01,314
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.025,325
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.05,338
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.1,355
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.15,366
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.2,375
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.25,383
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.3,388
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.35,395
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.4,400
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.45,404
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.5,411
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.55,415
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.6,422
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.65,427
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.7,432
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.75,439
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.8,448
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.85,456
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.9,465
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.95,484
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.975,499
2021-10-10,2 wk ahead inc hosp,2021-10-23,BE,quantile,0.99,509
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.01,296
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.025,313
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.05,326
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.1,345
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.15,360
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.2,370
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.25,378
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.3,385
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.35,391
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.4,398
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.45,403
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.5,409
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.55,416
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.6,422
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.65,427
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.7,433
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.75,441
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.8,451
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.85,458
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.9,473
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.95,490
2021-10-10,3 wk ahead inc hosp,2021-10-30,BE,quantile,0.975,504
