model,forecast_from,id,horizon,date_horizon,quantile,value
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.01,419
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.025,424
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.05,432
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.1,439
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.15,443
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.2,448
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.25,451
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.3,454
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.35,457
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.4,460
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.45,463
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.5,466
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.55,468
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.6,471
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.65,474
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.7,476
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.75,480
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.8,483
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.85,487
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.9,492
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.95,501
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.975,508
ARIMA regression,2021-09-18,BE,1,2021-09-25,0.99,514
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.01,372
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.025,380
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.05,385
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.1,392
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.15,396
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.2,400
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.25,403
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.3,406
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.35,409
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.4,412
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.45,415
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.5,417
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.55,420
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.6,422
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.65,425
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.7,428
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.75,431
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.8,435
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.85,439
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.9,444
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.95,451
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.975,458
ARIMA regression,2021-09-18,BE,2,2021-10-02,0.99,465
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.01,333
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.025,339
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.05,345
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.1,353
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.15,359
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.2,362
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.25,365
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.3,368
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.35,371
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.4,373
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.45,376
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.5,378
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.55,381
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.6,383
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.65,385
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.7,388
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.75,391
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.8,395
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.85,399
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.9,404
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.95,412
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.975,418
ARIMA regression,2021-09-18,BE,3,2021-10-09,0.99,426
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.01,317
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.025,326
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.05,334
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.1,340
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.15,345
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.2,349
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.25,352
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.3,355
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.35,358
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.4,360
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.45,363
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.5,365
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.55,368
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.6,371
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.65,373
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.7,376
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.75,379
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.8,383
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.85,387
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.9,391
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.95,398
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.975,407
ARIMA regression,2021-09-18,BE,4,2021-10-16,0.99,415
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.01,1
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.025,9
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.05,17
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.1,26
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.15,32
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.2,35
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.25,39
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.3,41
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.35,45
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.4,48
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.45,50
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.5,53
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.55,57
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.6,59
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.65,62
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.7,66
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.75,68
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.8,73
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.85,77
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.9,82
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.95,90
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.975,97
ARIMA regression,2021-09-18,DK,1,2021-09-25,0.99,106
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.01,0
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.025,0
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.05,0
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.1,0
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.15,0
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.2,5
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.25,9
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.3,14
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.35,19
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.4,24
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.45,28
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.5,32
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.55,36
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.6,41
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.65,45
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.7,49
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.75,54
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.8,61
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.85,66
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.9,75
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.95,86
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.975,97
ARIMA regression,2021-09-18,DK,2,2021-10-02,0.99,110
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.01,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.025,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.05,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.1,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.15,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.2,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.25,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.3,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.35,0
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.4,5
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.45,10
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.5,14
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.55,19
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.6,26
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.65,31
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.7,38
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.75,44
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.8,51
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.85,61
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.9,71
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.95,83
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.975,95
ARIMA regression,2021-09-18,DK,3,2021-10-09,0.99,111
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.01,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.025,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.05,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.1,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.15,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.2,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.25,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.3,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.35,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.4,0
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.45,4
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.5,10
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.55,16
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.6,21
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.65,28
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.7,34
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.75,40
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.8,47
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.85,56
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.9,67
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.95,83
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.975,98
ARIMA regression,2021-09-18,DK,4,2021-10-16,0.99,117
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.01,104
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.025,112
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.05,116
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.1,120
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.15,123
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.2,125
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.25,128
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.3,130
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.35,132
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.4,134
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.45,135
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.5,137
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.55,138
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.6,140
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.65,142
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.7,144
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.75,146
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.8,148
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.85,151
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.9,155
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.95,160
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.975,163
ARIMA regression,2021-09-18,EE,1,2021-09-25,0.99,166
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.01,118
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.025,122
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.05,128
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.1,132
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.15,136
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.2,139
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.25,141
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.3,142
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.35,144
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.4,146
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.45,148
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.5,149
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.55,151
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.6,153
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.65,154
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.7,156
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.75,158
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.8,160
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.85,162
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.9,165
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.95,171
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.975,175
ARIMA regression,2021-09-18,EE,2,2021-10-02,0.99,179
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.01,127
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.025,132
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.05,136
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.1,141
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.15,143
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.2,146
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.25,148
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.3,150
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.35,152
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.4,154
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.45,156
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.5,157
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.55,159
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.6,160
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.65,162
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.7,164
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.75,166
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.8,168
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.85,171
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.9,174
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.95,179
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.975,183
ARIMA regression,2021-09-18,EE,3,2021-10-09,0.99,187
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.01,138
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.025,141
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.05,145
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.1,151
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.15,153
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.2,156
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.25,159
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.3,160
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.35,162
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.4,164
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.45,165
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.5,167
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.55,169
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.6,171
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.65,173
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.7,175
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.75,177
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.8,179
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.85,182
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.9,186
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.95,191
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.975,195
ARIMA regression,2021-09-18,EE,4,2021-10-16,0.99,200
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.01,288
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.025,371
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.05,433
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.1,509
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.15,554
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.2,603
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.25,635
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.3,670
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.35,704
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.4,735
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.45,763
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.5,782
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.55,808
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.6,838
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.65,865
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.7,893
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.75,926
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.8,969
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.85,1005
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.9,1052
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.95,1137
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.975,1211
ARIMA regression,2021-09-18,ES,1,2021-09-25,0.99,1262
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.01,102
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.025,178
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.05,234
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.1,298
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.15,346
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.2,391
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.25,423
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.3,456
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.35,493
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.4,522
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.45,550
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.5,583
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.55,608
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.6,634
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.65,670
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.7,701
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.75,731
ARIMA regression,2021-09-18,ES,2,2021-10-02,0.8,759
