model,forecast_from,id,horizon,date_horizon,quantile,value
Case-convolution,2021-10-16,BE,1,2021-10-23,0.01,312
Case-convolution,2021-10-16,BE,1,2021-10-23,0.025,355
Case-convolution,2021-10-16,BE,1,2021-10-23,0.05,391
Case-convolution,2021-10-16,BE,1,2021-10-23,0.1,437
Case-convolution,2021-10-16,BE,1,2021-10-23,0.15,459
Case-convolution,2021-10-16,BE,1,2021-10-23,0.2,473
Case-convolution,2021-10-16,BE,1,2021-10-23,0.25,484
Case-convolution,2021-10-16,BE,1,2021-10-23,0.3,496
Case-convolution,2021-10-16,BE,1,2021-10-23,0.35,508
Case-convolution,2021-10-16,BE,1,2021-10-23,0.4,516
Case-convolution,2021-10-16,BE,1,2021-10-23,0.45,525
Case-convolution,2021-10-16,BE,1,2021-10-23,0.5,536
Case-convolution,2021-10-16,BE,1,2021-10-23,0.55,545
Case-convolution,2021-10-16,BE,1,2021-10-23,0.6,556
Case-convolution,2021-10-16,BE,1,2021-10-23,0.65,566
Case-convolution,2021-10-16,BE,1,2021-10-23,0.7,578
Case-convolution,2021-10-16,BE,1,2021-10-23,0.75,590
Case-convolution,2021-10-16,BE,1,2021-10-23,0.8,606
Case-convolution,2021-10-16,BE,1,2021-10-23,0.85,624
Case-convolution,2021-10-16,BE,1,2021-10-23,0.9,651
Case-convolution,2021-10-16,BE,1,2021-10-23,0.95,700
Case-convolution,2021-10-16,BE,1,2021-10-23,0.975,723
Case-convolution,2021-10-16,BE,1,2021-10-23,0.99,784
Case-convolution,2021-10-16,BE,2,2021-10-30,0.01,347
Case-convolution,2021-10-16,BE,2,2021-10-30,0.025,382
Case-convolution,2021-10-16,BE,2,2021-10-30,0.05,412
Case-convolution,2021-10-16,BE,2,2021-10-30,0.1,450
Case-convolution,2021-10-16,BE,2,2021-10-30,0.15,474
Case-convolution,2021-10-16,BE,2,2021-10-30,0.2,492
Case-convolution,2021-10-16,BE,2,2021-10-30,0.25,508
Case-convolution,2021-10-16,BE,2,2021-10-30,0.3,523
Case-convolution,2021-10-16,BE,2,2021-10-30,0.35,539
Case-convolution,2021-10-16,BE,2,2021-10-30,0.4,550
Case-convolution,2021-10-16,BE,2,2021-10-30,0.45,563
Case-convolution,2021-10-16,BE,2,2021-10-30,0.5,577
Case-convolution,2021-10-16,BE,2,2021-10-30,0.55,590
