model,forecast_from,id,horizon,date_horizon,quantile,quantile_label,value
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.01,lower_98,327
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.025,lower_95,344
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.05,lower_90,357
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.1,lower_80,370
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.15,lower_70,382
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.2,lower_60,388
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.25,lower_50,396
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.3,lower_40,401
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.35,lower_30,405
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.4,lower_20,410
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.45,lower_10,414
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.5,lower_0,419
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.55,upper_10,424
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.6,upper_20,430
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.65,upper_30,436
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.7,upper_40,441
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.75,upper_50,447
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.8,upper_60,454
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.85,upper_70,461
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.9,upper_80,472
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.95,upper_90,485
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.975,upper_95,502
ARIMA regression,2021-09-25,BE,1,2021-10-02,0.99,upper_98,519
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.01,lower_98,332
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.025,lower_95,344
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.05,lower_90,359
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.1,lower_80,370
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.15,lower_70,380
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.2,lower_60,388
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.25,lower_50,395
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.3,lower_40,401
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.35,lower_30,405
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.4,lower_20,411
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.45,lower_10,415
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.5,lower_0,420
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.55,upper_10,425
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.6,upper_20,430
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.65,upper_30,435
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.7,upper_40,441
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.75,upper_50,447
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.8,upper_60,454
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.85,upper_70,461
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.9,upper_80,467
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.95,upper_90,479
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.975,upper_95,489
ARIMA regression,2021-09-25,BE,2,2021-10-09,0.99,upper_98,504
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.01,lower_98,323
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.025,lower_95,339
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.05,lower_90,351
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.1,lower_80,365
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.15,lower_70,374
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.2,lower_60,383
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.25,lower_50,389
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.3,lower_40,394
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.35,lower_30,400
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.4,lower_20,406
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.45,lower_10,411
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.5,lower_0,416
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.55,upper_10,421
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.6,upper_20,426
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.65,upper_30,432
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.7,upper_40,436
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.75,upper_50,442
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.8,upper_60,449
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.85,upper_70,457
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.9,upper_80,466
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.95,upper_90,479
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.975,upper_95,495
ARIMA regression,2021-09-25,BE,3,2021-10-16,0.99,upper_98,510
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.01,lower_98,316
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.025,lower_95,329
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.05,lower_90,343
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.1,lower_80,355
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.15,lower_70,366
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.2,lower_60,375
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.25,lower_50,381
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.3,lower_40,387
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.35,lower_30,392
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.4,lower_20,397
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.45,lower_10,403
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.5,lower_0,407
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.55,upper_10,411
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.6,upper_20,416
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.65,upper_30,421
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.7,upper_40,427
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.75,upper_50,433
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.8,upper_60,439
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.85,upper_70,446
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.9,upper_80,458
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.95,upper_90,473
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.975,upper_95,484
ARIMA regression,2021-09-25,BE,4,2021-10-23,0.99,upper_98,501
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.01,lower_98,0
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.025,lower_95,2
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.05,lower_90,12
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.1,lower_80,21
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.15,lower_70,26
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.2,lower_60,33
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.25,lower_50,38
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.3,lower_40,43
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.35,lower_30,48
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.4,lower_20,51
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.45,lower_10,54
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.5,lower_0,58
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.55,upper_10,62
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.6,upper_20,67
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.65,upper_30,71
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.7,upper_40,75
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.75,upper_50,80
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.8,upper_60,85
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.85,upper_70,90
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.9,upper_80,96
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.95,upper_90,107
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.975,upper_95,116
ARIMA regression,2021-09-25,DK,1,2021-10-02,0.99,upper_98,124
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.01,lower_98,0
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.025,lower_95,6
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.05,lower_90,17
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.1,lower_80,25
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.15,lower_70,31
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.2,lower_60,37
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.25,lower_50,42
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.3,lower_40,46
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.35,lower_30,50
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.4,lower_20,54
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.45,lower_10,58
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.5,lower_0,61
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.55,upper_10,66
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.6,upper_20,70
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.65,upper_30,76
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.7,upper_40,79
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.75,upper_50,84
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.8,upper_60,89
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.85,upper_70,95
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.9,upper_80,101
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.95,upper_90,113
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.975,upper_95,124
ARIMA regression,2021-09-25,DK,2,2021-10-09,0.99,upper_98,131
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.01,lower_98,0
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.025,lower_95,5
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.05,lower_90,13
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.1,lower_80,23
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.15,lower_70,32
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.2,lower_60,38
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.25,lower_50,43
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.3,lower_40,48
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.35,lower_30,52
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.4,lower_20,55
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.45,lower_10,58
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.5,lower_0,63
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.55,upper_10,66
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.6,upper_20,70
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.65,upper_30,74
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.7,upper_40,79
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.75,upper_50,84
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.8,upper_60,90
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.85,upper_70,96
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.9,upper_80,102
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.95,upper_90,111
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.975,upper_95,124
ARIMA regression,2021-09-25,DK,3,2021-10-16,0.99,upper_98,133
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.01,lower_98,0
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.025,lower_95,3
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.05,lower_90,10
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.1,lower_80,19
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.15,lower_70,26
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.2,lower_60,32
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.25,lower_50,38
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.3,lower_40,42
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.35,lower_30,46
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.4,lower_20,50
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.45,lower_10,53
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.5,lower_0,57
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.55,upper_10,61
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.6,upper_20,65
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.65,upper_30,69
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.7,upper_40,73
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.75,upper_50,77
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.8,upper_60,81
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.85,upper_70,88
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.9,upper_80,95
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.95,upper_90,104
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.975,upper_95,114
ARIMA regression,2021-09-25,DK,4,2021-10-23,0.99,upper_98,121
ARIMA regression,2021-09-25,EE,1,2021-10-02,0.01,lower_98,150
ARIMA regression,2021-09-25,EE,1,2021-10-02,0.025,lower_95,155
ARIMA regression,2021-09-25,EE,1,2021-10-02,0.05,lower_90,158
ARIMA regression,2021-09-25,EE,1,2021-10-02,0.1,lower_80,162
ARIMA regression,2021-09-25,EE,1,2021-10-02,0.15,lower_70,165
