model,forecast_from,id,horizon,date_horizon,quantile,value
Case-convolution,2021-09-11,BE,7,2021-09-18,0.01,196
Case-convolution,2021-09-11,BE,7,2021-09-18,0.025,238
Case-convolution,2021-09-11,BE,7,2021-09-18,0.05,267
Case-convolution,2021-09-11,BE,7,2021-09-18,0.1,299
Case-convolution,2021-09-11,BE,7,2021-09-18,0.15,325
Case-convolution,2021-09-11,BE,7,2021-09-18,0.2,343
Case-convolution,2021-09-11,BE,7,2021-09-18,0.25,356
Case-convolution,2021-09-11,BE,7,2021-09-18,0.3,368
Case-convolution,2021-09-11,BE,7,2021-09-18,0.35,380
Case-convolution,2021-09-11,BE,7,2021-09-18,0.4,395
Case-convolution,2021-09-11,BE,7,2021-09-18,0.45,405
Case-convolution,2021-09-11,BE,7,2021-09-18,0.5,415
Case-convolution,2021-09-11,BE,7,2021-09-18,0.55,427
Case-convolution,2021-09-11,BE,7,2021-09-18,0.6,437
Case-convolution,2021-09-11,BE,7,2021-09-18,0.65,449
Case-convolution,2021-09-11,BE,7,2021-09-18,0.7,464
Case-convolution,2021-09-11,BE,7,2021-09-18,0.75,481
Case-convolution,2021-09-11,BE,7,2021-09-18,0.8,496
Case-convolution,2021-09-11,BE,7,2021-09-18,0.85,517
Case-convolution,2021-09-11,BE,7,2021-09-18,0.9,551
Case-convolution,2021-09-11,BE,7,2021-09-18,0.95,610
Case-convolution,2021-09-11,BE,7,2021-09-18,0.975,696
Case-convolution,2021-09-11,BE,7,2021-09-18,0.99,768
Case-convolution,2021-09-11,BE,14,2021-09-25,0.01,182
Case-convolution,2021-09-11,BE,14,2021-09-25,0.025,223
Case-convolution,2021-09-11,BE,14,2021-09-25,0.05,266
Case-convolution,2021-09-11,BE,14,2021-09-25,0.1,296
Case-convolution,2021-09-11,BE,14,2021-09-25,0.15,321
Case-convolution,2021-09-11,BE,14,2021-09-25,0.2,335
Case-convolution,2021-09-11,BE,14,2021-09-25,0.25,346
Case-convolution,2021-09-11,BE,14,2021-09-25,0.3,360
Case-convolution,2021-09-11,BE,14,2021-09-25,0.35,375
Case-convolution,2021-09-11,BE,14,2021-09-25,0.4,390
Case-convolution,2021-09-11,BE,14,2021-09-25,0.45,403
Case-convolution,2021-09-11,BE,14,2021-09-25,0.5,412
Case-convolution,2021-09-11,BE,14,2021-09-25,0.55,424
Case-convolution,2021-09-11,BE,14,2021-09-25,0.6,438
Case-convolution,2021-09-11,BE,14,2021-09-25,0.65,452
Case-convolution,2021-09-11,BE,14,2021-09-25,0.7,470
Case-convolution,2021-09-11,BE,14,2021-09-25,0.75,484
Case-convolution,2021-09-11,BE,14,2021-09-25,0.8,504
Case-convolution,2021-09-11,BE,14,2021-09-25,0.85,526
Case-convolution,2021-09-11,BE,14,2021-09-25,0.9,553
Case-convolution,2021-09-11,BE,14,2021-09-25,0.95,629
Case-convolution,2021-09-11,BE,14,2021-09-25,0.975,680
Case-convolution,2021-09-11,BE,14,2021-09-25,0.99,749
Case-convolution,2021-09-11,BE,21,2021-10-02,0.01,185
Case-convolution,2021-09-11,BE,21,2021-10-02,0.025,214
Case-convolution,2021-09-11,BE,21,2021-10-02,0.05,240
Case-convolution,2021-09-11,BE,21,2021-10-02,0.1,278
Case-convolution,2021-09-11,BE,21,2021-10-02,0.15,301
Case-convolution,2021-09-11,BE,21,2021-10-02,0.2,321
Case-convolution,2021-09-11,BE,21,2021-10-02,0.25,333
