model,id,horizon,forecast_from,quantile_label
Time series ensemble,BE,1,2021-09-25,lower_98
Time series ensemble,BE,1,2021-09-25,lower_95
Time series ensemble,BE,1,2021-09-25,lower_90
Time series ensemble,BE,1,2021-09-25,lower_80
Time series ensemble,BE,1,2021-09-25,lower_70
Time series ensemble,BE,1,2021-09-25,lower_60
Time series ensemble,BE,1,2021-09-25,lower_50
Time series ensemble,BE,1,2021-09-25,lower_40
Time series ensemble,BE,1,2021-09-25,lower_30
Time series ensemble,BE,1,2021-09-25,lower_20
Time series ensemble,BE,1,2021-09-25,lower_10
Time series ensemble,BE,1,2021-09-25,lower_0
Time series ensemble,BE,1,2021-09-25,upper_10
Time series ensemble,BE,1,2021-09-25,upper_20
Time series ensemble,BE,1,2021-09-25,upper_30
Time series ensemble,BE,1,2021-09-25,upper_40
Time series ensemble,BE,1,2021-09-25,upper_50
Time series ensemble,BE,1,2021-09-25,upper_60
Time series ensemble,BE,1,2021-09-25,upper_70
Time series ensemble,BE,1,2021-09-25,upper_80
Time series ensemble,BE,1,2021-09-25,upper_90
Time series ensemble,BE,1,2021-09-25,upper_95
Time series ensemble,BE,1,2021-09-25,upper_98
Time series ensemble,BE,2,2021-09-25,lower_98
Time series ensemble,BE,2,2021-09-25,lower_95
Time series ensemble,BE,2,2021-09-25,lower_90
Time series ensemble,BE,2,2021-09-25,lower_80
Time series ensemble,BE,2,2021-09-25,lower_70
Time series ensemble,BE,2,2021-09-25,lower_60
Time series ensemble,BE,2,2021-09-25,lower_50
Time series ensemble,BE,2,2021-09-25,lower_40
Time series ensemble,BE,2,2021-09-25,lower_30
Time series ensemble,BE,2,2021-09-25,lower_20
Time series ensemble,BE,2,2021-09-25,lower_10
Time series ensemble,BE,2,2021-09-25,lower_0
Time series ensemble,BE,2,2021-09-25,upper_10
Time series ensemble,BE,2,2021-09-25,upper_20
Time series ensemble,BE,2,2021-09-25,upper_30
Time series ensemble,BE,2,2021-09-25,upper_40
Time series ensemble,BE,2,2021-09-25,upper_50
Time series ensemble,BE,2,2021-09-25,upper_60
Time series ensemble,BE,2,2021-09-25,upper_70
Time series ensemble,BE,2,2021-09-25,upper_80
Time series ensemble,BE,2,2021-09-25,upper_90
Time series ensemble,BE,2,2021-09-25,upper_95
Time series ensemble,BE,2,2021-09-25,upper_98
Time series ensemble,BE,3,2021-09-25,lower_98
Time series ensemble,BE,3,2021-09-25,lower_95
Time series ensemble,BE,3,2021-09-25,lower_90
Time series ensemble,BE,3,2021-09-25,lower_80
Time series ensemble,BE,3,2021-09-25,lower_70
Time series ensemble,BE,3,2021-09-25,lower_60
Time series ensemble,BE,3,2021-09-25,lower_50
Time series ensemble,BE,3,2021-09-25,lower_40
Time series ensemble,BE,3,2021-09-25,lower_30
Time series ensemble,BE,3,2021-09-25,lower_20
Time series ensemble,BE,3,2021-09-25,lower_10
Time series ensemble,BE,3,2021-09-25,lower_0
Time series ensemble,BE,3,2021-09-25,upper_10
Time series ensemble,BE,3,2021-09-25,upper_20
Time series ensemble,BE,3,2021-09-25,upper_30
Time series ensemble,BE,3,2021-09-25,upper_40
Time series ensemble,BE,3,2021-09-25,upper_50
Time series ensemble,BE,3,2021-09-25,upper_60
Time series ensemble,BE,3,2021-09-25,upper_70
Time series ensemble,BE,3,2021-09-25,upper_80
Time series ensemble,BE,3,2021-09-25,upper_90
Time series ensemble,BE,3,2021-09-25,upper_95
Time series ensemble,BE,3,2021-09-25,upper_98
Time series ensemble,BE,4,2021-09-25,lower_98
Time series ensemble,BE,4,2021-09-25,lower_95
Time series ensemble,BE,4,2021-09-25,lower_90
Time series ensemble,BE,4,2021-09-25,lower_80
Time series ensemble,BE,4,2021-09-25,lower_70
Time series ensemble,BE,4,2021-09-25,lower_60
Time series ensemble,BE,4,2021-09-25,lower_50
Time series ensemble,BE,4,2021-09-25,lower_40
Time series ensemble,BE,4,2021-09-25,lower_30
Time series ensemble,BE,4,2021-09-25,lower_20
Time series ensemble,BE,4,2021-09-25,lower_10
Time series ensemble,BE,4,2021-09-25,lower_0
Time series ensemble,BE,4,2021-09-25,upper_10
Time series ensemble,BE,4,2021-09-25,upper_20
Time series ensemble,BE,4,2021-09-25,upper_30
Time series ensemble,BE,4,2021-09-25,upper_40
Time series ensemble,BE,4,2021-09-25,upper_50
Time series ensemble,BE,4,2021-09-25,upper_60
Time series ensemble,BE,4,2021-09-25,upper_70
Time series ensemble,BE,4,2021-09-25,upper_80
Time series ensemble,BE,4,2021-09-25,upper_90
Time series ensemble,BE,4,2021-09-25,upper_95
Time series ensemble,BE,4,2021-09-25,upper_98
Time series ensemble,DK,1,2021-09-25,lower_98
Time series ensemble,DK,1,2021-09-25,lower_95
Time series ensemble,DK,1,2021-09-25,lower_90
Time series ensemble,DK,1,2021-09-25,lower_80
Time series ensemble,DK,1,2021-09-25,lower_70
Time series ensemble,DK,1,2021-09-25,lower_60
Time series ensemble,DK,1,2021-09-25,lower_50
Time series ensemble,DK,1,2021-09-25,lower_40
Time series ensemble,DK,1,2021-09-25,lower_30
Time series ensemble,DK,1,2021-09-25,lower_20
Time series ensemble,DK,1,2021-09-25,lower_10
Time series ensemble,DK,1,2021-09-25,lower_0
Time series ensemble,DK,1,2021-09-25,upper_10
Time series ensemble,DK,1,2021-09-25,upper_20
Time series ensemble,DK,1,2021-09-25,upper_30
Time series ensemble,DK,1,2021-09-25,upper_40
Time series ensemble,DK,1,2021-09-25,upper_50
Time series ensemble,DK,1,2021-09-25,upper_60
Time series ensemble,DK,1,2021-09-25,upper_70
Time series ensemble,DK,1,2021-09-25,upper_80
Time series ensemble,DK,1,2021-09-25,upper_90
Time series ensemble,DK,1,2021-09-25,upper_95
Time series ensemble,DK,1,2021-09-25,upper_98
Time series ensemble,DK,2,2021-09-25,lower_98
Time series ensemble,DK,2,2021-09-25,lower_95
Time series ensemble,DK,2,2021-09-25,lower_90
Time series ensemble,DK,2,2021-09-25,lower_80
Time series ensemble,DK,2,2021-09-25,lower_70
Time series ensemble,DK,2,2021-09-25,lower_60
Time series ensemble,DK,2,2021-09-25,lower_50
Time series ensemble,DK,2,2021-09-25,lower_40
Time series ensemble,DK,2,2021-09-25,lower_30
Time series ensemble,DK,2,2021-09-25,lower_20
Time series ensemble,DK,2,2021-09-25,lower_10
Time series ensemble,DK,2,2021-09-25,lower_0
Time series ensemble,DK,2,2021-09-25,upper_10
Time series ensemble,DK,2,2021-09-25,upper_20
Time series ensemble,DK,2,2021-09-25,upper_30
Time series ensemble,DK,2,2021-09-25,upper_40
Time series ensemble,DK,2,2021-09-25,upper_50
Time series ensemble,DK,2,2021-09-25,upper_60
Time series ensemble,DK,2,2021-09-25,upper_70
Time series ensemble,DK,2,2021-09-25,upper_80
Time series ensemble,DK,2,2021-09-25,upper_90
Time series ensemble,DK,2,2021-09-25,upper_95
Time series ensemble,DK,2,2021-09-25,upper_98
Time series ensemble,DK,3,2021-09-25,lower_98
Time series ensemble,DK,3,2021-09-25,lower_95
Time series ensemble,DK,3,2021-09-25,lower_90
Time series ensemble,DK,3,2021-09-25,lower_80
Time series ensemble,DK,3,2021-09-25,lower_70
Time series ensemble,DK,3,2021-09-25,lower_60
Time series ensemble,DK,3,2021-09-25,lower_50
Time series ensemble,DK,3,2021-09-25,lower_40
Time series ensemble,DK,3,2021-09-25,lower_30
Time series ensemble,DK,3,2021-09-25,lower_20
Time series ensemble,DK,3,2021-09-25,lower_10
Time series ensemble,DK,3,2021-09-25,lower_0
Time series ensemble,DK,3,2021-09-25,upper_10
Time series ensemble,DK,3,2021-09-25,upper_20
Time series ensemble,DK,3,2021-09-25,upper_30
Time series ensemble,DK,3,2021-09-25,upper_40
Time series ensemble,DK,3,2021-09-25,upper_50
Time series ensemble,DK,3,2021-09-25,upper_60
Time series ensemble,DK,3,2021-09-25,upper_70
Time series ensemble,DK,3,2021-09-25,upper_80
Time series ensemble,DK,3,2021-09-25,upper_90
Time series ensemble,DK,3,2021-09-25,upper_95
Time series ensemble,DK,3,2021-09-25,upper_98
Time series ensemble,DK,4,2021-09-25,lower_98
Time series ensemble,DK,4,2021-09-25,lower_95
Time series ensemble,DK,4,2021-09-25,lower_90
Time series ensemble,DK,4,2021-09-25,lower_80
Time series ensemble,DK,4,2021-09-25,lower_70
Time series ensemble,DK,4,2021-09-25,lower_60
Time series ensemble,DK,4,2021-09-25,lower_50
Time series ensemble,DK,4,2021-09-25,lower_40
Time series ensemble,DK,4,2021-09-25,lower_30
Time series ensemble,DK,4,2021-09-25,lower_20
Time series ensemble,DK,4,2021-09-25,lower_10
Time series ensemble,DK,4,2021-09-25,lower_0
Time series ensemble,DK,4,2021-09-25,upper_10
Time series ensemble,DK,4,2021-09-25,upper_20
Time series ensemble,DK,4,2021-09-25,upper_30
Time series ensemble,DK,4,2021-09-25,upper_40
Time series ensemble,DK,4,2021-09-25,upper_50
Time series ensemble,DK,4,2021-09-25,upper_60
Time series ensemble,DK,4,2021-09-25,upper_70
Time series ensemble,DK,4,2021-09-25,upper_80
Time series ensemble,DK,4,2021-09-25,upper_90
Time series ensemble,DK,4,2021-09-25,upper_95
Time series ensemble,DK,4,2021-09-25,upper_98
Time series ensemble,EE,1,2021-09-25,lower_98
Time series ensemble,EE,1,2021-09-25,lower_95
Time series ensemble,EE,1,2021-09-25,lower_90
Time series ensemble,EE,1,2021-09-25,lower_80
Time series ensemble,EE,1,2021-09-25,lower_70
Time series ensemble,EE,1,2021-09-25,lower_60
Time series ensemble,EE,1,2021-09-25,lower_50
Time series ensemble,EE,1,2021-09-25,lower_40
Time series ensemble,EE,1,2021-09-25,lower_30
Time series ensemble,EE,1,2021-09-25,lower_20
Time series ensemble,EE,1,2021-09-25,lower_10
Time series ensemble,EE,1,2021-09-25,lower_0
Time series ensemble,EE,1,2021-09-25,upper_10
Time series ensemble,EE,1,2021-09-25,upper_20
Time series ensemble,EE,1,2021-09-25,upper_30
Time series ensemble,EE,1,2021-09-25,upper_40
Time series ensemble,EE,1,2021-09-25,upper_50
Time series ensemble,EE,1,2021-09-25,upper_60
Time series ensemble,EE,1,2021-09-25,upper_70
Time series ensemble,EE,1,2021-09-25,upper_80
Time series ensemble,EE,1,2021-09-25,upper_90
Time series ensemble,EE,1,2021-09-25,upper_95
Time series ensemble,EE,1,2021-09-25,upper_98
Time series ensemble,EE,2,2021-09-25,lower_98
Time series ensemble,EE,2,2021-09-25,lower_95
Time series ensemble,EE,2,2021-09-25,lower_90
Time series ensemble,EE,2,2021-09-25,lower_80
Time series ensemble,EE,2,2021-09-25,lower_70
Time series ensemble,EE,2,2021-09-25,lower_60
Time series ensemble,EE,2,2021-09-25,lower_50
Time series ensemble,EE,2,2021-09-25,lower_40
Time series ensemble,EE,2,2021-09-25,lower_30
Time series ensemble,EE,2,2021-09-25,lower_20
Time series ensemble,EE,2,2021-09-25,lower_10
Time series ensemble,EE,2,2021-09-25,lower_0
Time series ensemble,EE,2,2021-09-25,upper_10
Time series ensemble,EE,2,2021-09-25,upper_20
Time series ensemble,EE,2,2021-09-25,upper_30
Time series ensemble,EE,2,2021-09-25,upper_40
Time series ensemble,EE,2,2021-09-25,upper_50
Time series ensemble,EE,2,2021-09-25,upper_60
Time series ensemble,EE,2,2021-09-25,upper_70
Time series ensemble,EE,2,2021-09-25,upper_80
Time series ensemble,EE,2,2021-09-25,upper_90
Time series ensemble,EE,2,2021-09-25,upper_95
Time series ensemble,EE,2,2021-09-25,upper_98
Time series ensemble,EE,3,2021-09-25,lower_98
Time series ensemble,EE,3,2021-09-25,lower_95
Time series ensemble,EE,3,2021-09-25,lower_90
Time series ensemble,EE,3,2021-09-25,lower_80
Time series ensemble,EE,3,2021-09-25,lower_70
Time series ensemble,EE,3,2021-09-25,lower_60
Time series ensemble,EE,3,2021-09-25,lower_50
Time series ensemble,EE,3,2021-09-25,lower_40
Time series ensemble,EE,3,2021-09-25,lower_30
Time series ensemble,EE,3,2021-09-25,lower_20
Time series ensemble,EE,3,2021-09-25,lower_10
Time series ensemble,EE,3,2021-09-25,lower_0
Time series ensemble,EE,3,2021-09-25,upper_10
Time series ensemble,EE,3,2021-09-25,upper_20
Time series ensemble,EE,3,2021-09-25,upper_30
Time series ensemble,EE,3,2021-09-25,upper_40
Time series ensemble,EE,3,2021-09-25,upper_50
Time series ensemble,EE,3,2021-09-25,upper_60
Time series ensemble,EE,3,2021-09-25,upper_70
Time series ensemble,EE,3,2021-09-25,upper_80
Time series ensemble,EE,3,2021-09-25,upper_90
Time series ensemble,EE,3,2021-09-25,upper_95
Time series ensemble,EE,3,2021-09-25,upper_98
Time series ensemble,EE,4,2021-09-25,lower_98
Time series ensemble,EE,4,2021-09-25,lower_95
Time series ensemble,EE,4,2021-09-25,lower_90
Time series ensemble,EE,4,2021-09-25,lower_80
Time series ensemble,EE,4,2021-09-25,lower_70
Time series ensemble,EE,4,2021-09-25,lower_60
Time series ensemble,EE,4,2021-09-25,lower_50
Time series ensemble,EE,4,2021-09-25,lower_40
Time series ensemble,EE,4,2021-09-25,lower_30
Time series ensemble,EE,4,2021-09-25,lower_20
Time series ensemble,EE,4,2021-09-25,lower_10
Time series ensemble,EE,4,2021-09-25,lower_0
Time series ensemble,EE,4,2021-09-25,upper_10
Time series ensemble,EE,4,2021-09-25,upper_20
Time series ensemble,EE,4,2021-09-25,upper_30
Time series ensemble,EE,4,2021-09-25,upper_40
Time series ensemble,EE,4,2021-09-25,upper_50
Time series ensemble,EE,4,2021-09-25,upper_60
Time series ensemble,EE,4,2021-09-25,upper_70
Time series ensemble,EE,4,2021-09-25,upper_80
Time series ensemble,EE,4,2021-09-25,upper_90
Time series ensemble,EE,4,2021-09-25,upper_95
Time series ensemble,EE,4,2021-09-25,upper_98
Time series ensemble,ES,1,2021-09-25,lower_98
Time series ensemble,ES,1,2021-09-25,lower_95
Time series ensemble,ES,1,2021-09-25,lower_90
Time series ensemble,ES,1,2021-09-25,lower_80
Time series ensemble,ES,1,2021-09-25,lower_70
Time series ensemble,ES,1,2021-09-25,lower_60
Time series ensemble,ES,1,2021-09-25,lower_50
Time series ensemble,ES,1,2021-09-25,lower_40
Time series ensemble,ES,1,2021-09-25,lower_30
Time series ensemble,ES,1,2021-09-25,lower_20
Time series ensemble,ES,1,2021-09-25,lower_10
Time series ensemble,ES,1,2021-09-25,lower_0
Time series ensemble,ES,1,2021-09-25,upper_10
Time series ensemble,ES,1,2021-09-25,upper_20
Time series ensemble,ES,1,2021-09-25,upper_30
Time series ensemble,ES,1,2021-09-25,upper_40
Time series ensemble,ES,1,2021-09-25,upper_50
Time series ensemble,ES,1,2021-09-25,upper_60
Time series ensemble,ES,1,2021-09-25,upper_70
Time series ensemble,ES,1,2021-09-25,upper_80
Time series ensemble,ES,1,2021-09-25,upper_90
Time series ensemble,ES,1,2021-09-25,upper_95
Time series ensemble,ES,1,2021-09-25,upper_98
Time series ensemble,ES,2,2021-09-25,lower_98
Time series ensemble,ES,2,2021-09-25,lower_95
Time series ensemble,ES,2,2021-09-25,lower_90
Time series ensemble,ES,2,2021-09-25,lower_80
Time series ensemble,ES,2,2021-09-25,lower_70
Time series ensemble,ES,2,2021-09-25,lower_60
Time series ensemble,ES,2,2021-09-25,lower_50
Time series ensemble,ES,2,2021-09-25,lower_40
Time series ensemble,ES,2,2021-09-25,lower_30
Time series ensemble,ES,2,2021-09-25,lower_20
Time series ensemble,ES,2,2021-09-25,lower_10
Time series ensemble,ES,2,2021-09-25,lower_0
Time series ensemble,ES,2,2021-09-25,upper_10
Time series ensemble,ES,2,2021-09-25,upper_20
Time series ensemble,ES,2,2021-09-25,upper_30
Time series ensemble,ES,2,2021-09-25,upper_40
Time series ensemble,ES,2,2021-09-25,upper_50
Time series ensemble,ES,2,2021-09-25,upper_60
Time series ensemble,ES,2,2021-09-25,upper_70
Time series ensemble,ES,2,2021-09-25,upper_80
Time series ensemble,ES,2,2021-09-25,upper_90
Time series ensemble,ES,2,2021-09-25,upper_95
Time series ensemble,ES,2,2021-09-25,upper_98
Time series ensemble,ES,3,2021-09-25,lower_98
Time series ensemble,ES,3,2021-09-25,lower_95
Time series ensemble,ES,3,2021-09-25,lower_90
Time series ensemble,ES,3,2021-09-25,lower_80
Time series ensemble,ES,3,2021-09-25,lower_70
Time series ensemble,ES,3,2021-09-25,lower_60
Time series ensemble,ES,3,2021-09-25,lower_50
Time series ensemble,ES,3,2021-09-25,lower_40
Time series ensemble,ES,3,2021-09-25,lower_30
Time series ensemble,ES,3,2021-09-25,lower_20
Time series ensemble,ES,3,2021-09-25,lower_10
Time series ensemble,ES,3,2021-09-25,lower_0
Time series ensemble,ES,3,2021-09-25,upper_10
Time series ensemble,ES,3,2021-09-25,upper_20
Time series ensemble,ES,3,2021-09-25,upper_30
Time series ensemble,ES,3,2021-09-25,upper_40
Time series ensemble,ES,3,2021-09-25,upper_50
Time series ensemble,ES,3,2021-09-25,upper_60
Time series ensemble,ES,3,2021-09-25,upper_70
Time series ensemble,ES,3,2021-09-25,upper_80
Time series ensemble,ES,3,2021-09-25,upper_90
Time series ensemble,ES,3,2021-09-25,upper_95
